chr12	68153029	68153579
chr12	68391633	68392183
chr12	68411670	68412220
chr12	68436675	68437225
chr12	68502278	68502828
chr12	68506842	68507392
chr12	68562614	68563164
chr12	68624485	68625035
chr12	68627468	68628018
chr12	68655130	68655680
chr12	68657821	68658371
chr12	68672458	68673008
chr12	68150944	68151494
chr12	68211538	68212088
chr12	68274748	68275298
chr12	68278733	68279283
chr12	68285439	68285989
chr12	68552539	68553089
chr12	68071543	68072093
chr12	68084932	68085482
chr12	68090627	68091177
chr12	68091866	68092416
chr12	68196687	68197237
chr12	68220700	68221250
chr12	68293600	68294150
chr12	68336391	68336941
chr12	68382321	68382871
chr12	68383678	68384228
chr12	68394411	68394961
chr12	68404081	68404631
chr12	68425293	68425843
chr12	68429866	68430416
chr12	68435502	68436052
chr12	68473709	68474259
chr12	68487438	68487988
chr12	68499289	68499839
chr12	68512466	68513016
chr12	68514320	68514870
chr12	68530372	68530922
chr12	68546055	68546605
chr12	68556585	68557135
chr12	68567116	68567666
chr12	68574099	68574649
chr12	68582986	68583536
chr12	68591735	68592285
chr12	68616092	68616642
chr12	68629663	68630213
chr12	68634061	68634611
chr12	68652520	68653070
chr12	68660258	68660808
chr12	68663023	68663573
chr12	68670909	68671459
chr12	68674528	68675078
chr12	68683168	68683718
chr12	68596519	68597069
chr12	68602636	68603186
chr12	68069844	68070394
chr12	68081390	68081940
chr12	68137980	68138530
chr12	68179383	68179933
chr12	68181330	68181880
chr12	68187704	68188254
chr12	68203166	68203716
chr12	68228821	68229371
chr12	68252668	68253218
chr12	68280357	68280907
chr12	68282097	68282647
chr12	68286893	68287443
chr12	68297127	68297677
chr12	68312831	68313381
chr12	68315590	68316140
chr12	68366586	68367136
chr12	68370989	68371539
chr12	68380672	68381222
chr12	68423275	68423825
chr12	68426757	68427307
chr12	68452109	68452659
chr12	68456399	68456949
chr12	68489576	68490126
chr12	68520503	68521053
chr12	68541416	68541966
chr12	68570627	68571177
chr12	68637042	68637592
chr12	68677367	68677917
chr12	68685912	68686462
